author_cluster_id	author_cluster_label	cluster_annotation_mapped	module	units	mean_score	sd_score	median_score	q25_score	q75_score
0	iSVZ	TRUE	neurogenesis_migration_layering	307	-0.250929269250197	0.266285686635127	-0.314281605487623	-0.419431524285261	-0.171892341143018
4	oSVZ-2	TRUE	neurogenesis_migration_layering	265	-0.42604877386898	0.175525376069465	-0.449086636913452	-0.525285060508076	-0.358709490771882
6	oSVZ-L1	TRUE	neurogenesis_migration_layering	234	-0.370955934469499	0.17539974106319	-0.402527613825021	-0.499104721550343	-0.283447350025085
10	L4-V1	TRUE	neurogenesis_migration_layering	158	0.786520168390515	0.434743674785095	0.777703651149655	0.459510991749188	1.03361170939164
9	L5/6-V1	TRUE	neurogenesis_migration_layering	162	-0.144655007678739	0.241919048776599	-0.195483096870533	-0.332789247735047	-0.0056145899298036
11	oSVZ-3	TRUE	neurogenesis_migration_layering	153	-0.0707927068475355	0.285508989453669	-0.154102984336898	-0.259753452668168	0.0548117808892647
1	IZ	TRUE	neurogenesis_migration_layering	283	-0.464002258181464	0.118654546576725	-0.479359979849542	-0.540022109710465	-0.412092898489778
12	L2/3-V2	TRUE	neurogenesis_migration_layering	147	0.347163461880192	0.91384946319013	-0.00799196794542179	-0.404901300108234	1.05678554229194
16	L2-V1	TRUE	neurogenesis_migration_layering	113	0.410621886774628	0.556039756243878	0.396400563051483	0.00295678533906985	0.738650842283947
13	SP-V2	TRUE	neurogenesis_migration_layering	140	-0.211877859588144	0.232912543355507	-0.233753613639568	-0.357111954551656	-0.134921377174883
18	iSVZ-L	TRUE	neurogenesis_migration_layering	71	0.0423693956258185	0.376036874917419	-0.062214161793665	-0.183355479526804	0.186713982298722
7	oSVZ-L2	TRUE	oligodendrocyte_myelination	210	0.161010050785983	0.740372931318224	0.0209180847976416	-0.108362100188283	0.216361491101425
17	L3-V1	TRUE	oligodendrocyte_myelination	87	-0.0942538966900738	0.201439745261883	-0.14166749125225	-0.229252391232722	-0.0247757193141788
8	L4-V2	TRUE	oligodendrocyte_myelination	200	0.128055137666114	0.366001967633135	0.0337539134021864	-0.0983240403071589	0.224030318521786
5	SP-V1	TRUE	oligodendrocyte_myelination	260	-0.072614726164082	0.201858807172614	-0.113834289216017	-0.22268760927585	0.0327600014225359
2	oSVZ-1	TRUE	oligodendrocyte_myelination	282	0.121307907909729	0.424110804413529	0.0194833681268596	-0.13426998900843	0.204397998298551
3	VZ	TRUE	oligodendrocyte_myelination	272	0.185579097770582	0.424883375275635	0.104775942133142	-0.0986392282763358	0.343419009633862
15	L5/6-V2	TRUE	oligodendrocyte_myelination	119	-0.0362938839429895	0.230722114315273	-0.0966424957082606	-0.204060330293662	0.0772424988573496
14	UNRESOLVED	FALSE	oligodendrocyte_myelination	128	-0.297518303922885	0.0556560676305586	-0.324133384834869	-0.324133384834869	-0.302237159839751
0	iSVZ	TRUE	oligodendrocyte_myelination	307	0.106391217870472	0.421896600658015	-0.0182986007671013	-0.169028281553686	0.243667388074735
4	oSVZ-2	TRUE	oligodendrocyte_myelination	265	-0.102059367111302	0.189712945508008	-0.152596621864886	-0.25114861622784	0.0107192321761292
6	oSVZ-L1	TRUE	oligodendrocyte_myelination	234	-0.114042301628823	0.196186307622026	-0.156633278458095	-0.258444709849515	-0.0291004477368733
10	L4-V1	TRUE	oligodendrocyte_myelination	158	0.0351098225106583	0.290288645703286	-0.0460747622153578	-0.160267880303426	0.133087515123394
9	L5/6-V1	TRUE	oligodendrocyte_myelination	162	-0.0765335767418576	0.171424044992782	-0.0893082145585904	-0.198884411126954	0.0114309775292157
11	oSVZ-3	TRUE	oligodendrocyte_myelination	153	0.0190391766415497	0.250267705401	-0.0422468185554239	-0.160267880303426	0.112088638841277
1	IZ	TRUE	oligodendrocyte_myelination	283	-0.0727552359238072	0.218123775512807	-0.114423906603779	-0.208884540266248	0.00458939264620145
12	L2/3-V2	TRUE	oligodendrocyte_myelination	147	-0.184098729164429	0.1679836850668	-0.258444709849515	-0.302237159839751	-0.121153445585677
16	L2-V1	TRUE	oligodendrocyte_myelination	113	-0.174496950598199	0.156759382403535	-0.214652259859279	-0.273044841222958	-0.135102709295378
13	SP-V2	TRUE	oligodendrocyte_myelination	140	0.0690254443313451	0.381936506071342	-0.0124762876744708	-0.158786514191772	0.171378320113466
18	iSVZ-L	TRUE	oligodendrocyte_myelination	71	0.113890263058912	0.370079156868858	0.0228655674962564	-0.11790155349484	0.201359110059964
7	oSVZ-L2	TRUE	patterning_arealization	210	0.207744619319236	0.381903550111106	0.0793968897006943	-0.0546671566564349	0.345537997119497
17	L3-V1	TRUE	patterning_arealization	87	-0.0479408093441877	0.188313203730113	-0.0376008446080819	-0.160239072241103	0.0440471033943056
8	L4-V2	TRUE	patterning_arealization	200	0.387903062298791	0.445116188979616	0.284903396531181	0.135634188978863	0.516539389069451
5	SP-V1	TRUE	patterning_arealization	260	-0.387391390590802	0.117330637673337	-0.412870155619028	-0.452305126441173	-0.355765222261714
2	oSVZ-1	TRUE	patterning_arealization	282	0.63651254607253	0.64400571577022	0.503965442367395	0.231187988007264	0.880653179032716
3	VZ	TRUE	patterning_arealization	272	0.620016916740456	0.691914859746497	0.542892065223547	0.143303470771362	0.907904288552
15	L5/6-V2	TRUE	patterning_arealization	119	-0.13998339245022	0.266386968287365	-0.18954492960936	-0.303806127413963	-0.0456266758686155
