profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class
1	all_cells_cell_balanced|daunorubicin	all_cells_cell_balanced	True	daunorubicin	Tier_C_program_overlap_dependent	41	7	0	developmental_shift	0.23226651199782164	0.2732375680059195	0.014236787859896214	-2.877830056280442	0.9978004399120176	0.0023995200959808036	0.004799040191961607	1.0	1.0	0.008998200359928014	0.015425486331305166	0.006544145716311283	0.01393269733150144	1.0	0.030193961207758448	0.05898820235952809	1.0	0.15696860627874426	0.2709458108378324	negative_FDR_supported	not_global_maxT_supported
5	all_cells_cell_balanced|etoposide	all_cells_cell_balanced	True	etoposide	Tier_A_global_residual_mechanism	57	9	3	developmental_shift	0.08107196126005943	0.06624135890156031	0.006580998629650142	2.2535489206274972	0.010397920415916816	0.9898020395920816	0.020795840831833633	0.019496100779844032	0.04925330723329018	1.0	1.0	0.025994801039792043	0.05504781396661844	0.14917016596680663	1.0	0.27714457108578283	0.6132773445310937	1.0	0.8050389922015597	positive_FDR_supported	not_global_maxT_supported
13	all_cells_cell_balanced|verapamil	all_cells_cell_balanced	True	verapamil	Tier_C_program_overlap_dependent	42	7	0	developmental_shift	-0.03116322750905445	-0.0407102224688977	0.004546342436005672	2.0999286996584132	0.01759648070385923	0.9826034793041392	0.03519296140771846	0.02932746783976538	0.07541348873082526	1.0	1.0	0.040607263162752066	0.08798240351929615	0.21815636872625474	1.0	0.3887222555488902	0.7498500299940012	1.0	0.9080183963207359	not_FDR_supported	not_global_maxT_supported
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	developmental_shift	-0.025543895590026018	-0.016488827517879143	0.0058106871141038055	-1.558347213390349	0.94501099780044	0.055188962207558485	0.11037792441511697	1.0	1.0	0.16556688662267544	0.20920815836832632	0.11826206187333961	0.2049386041159115	1.0	0.5746850629874025	0.8214357128574286	1.0	0.9882023595280944	0.9998000399920016	not_FDR_supported	not_global_maxT_supported
7	all_cells_cell_balanced|mitoxantrone	all_cells_cell_balanced	True	mitoxantrone	Tier_C_program_overlap_dependent	345	29	7	developmental_shift	0.3078422324714972	0.30619050579071044	0.008538362884484072	0.19344770222735566	0.4287142571485703	0.5714857028594281	0.8574285142971406	0.6430713857228555	0.8769155259857121	1.0	1.0	0.8574285142971406	0.8973089103109612	0.9994001199760048	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	early_program_suppression	0.005469024574927338	0.027545093603036367	0.007427047585653171	-2.9723882570448823	0.9984003199360127	0.001799640071985603	0.003599280143971206	0.9984003199360127	1.0	0.026994601079784044	0.015425486331305166	0.05398920215956809	0.012854571942754306	1.0	0.02419516096780644	0.04459108178364327	1.0	0.12077584483103379	0.21095780843831233	negative_FDR_supported	not_global_maxT_supported
12	all_cells_cell_balanced|valproic acid	all_cells_cell_balanced	True	valproic acid	Tier_C_program_overlap_dependent	42	7	0	early_program_suppression	0.030709099520693832	0.012091488881438909	0.00986327350028544	1.8875691360192064	0.027994401119776045	0.9722055588882224	0.05598880223955209	0.3079384123175365	0.10954330872955845	0.9722055588882224	1.0	0.4199160167966407	0.12597480503899222	0.34833033393321333	1.0	0.5778844231153769	0.8966206758648271	1.0	0.9762047590481904	not_FDR_supported	not_global_maxT_supported
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	early_program_suppression	0.03000788518290362	-0.00905425914662619	0.023482781634315063	1.6634377024759641	0.05018996200759848	0.9500099980003999	0.10037992401519696	0.3079384123175365	0.18068386322735452	0.9722055588882224	1.0	0.46190761847630474	0.1922168757737814	0.4933013397320536	1.0	0.75124975004999	0.9738052389522096	1.0	0.9976004799040192	not_FDR_supported	not_global_maxT_supported
0	all_cells_cell_balanced|camptothecin	all_cells_cell_balanced	True	camptothecin	Tier_A_global_residual_mechanism	42	7	0	early_program_suppression	0.03125125736834815	-0.03414454101927731	0.04225560113770487	1.5476243770502767	0.0615876824635073	0.9386122775444911	0.1231753649270146	0.3079384123175365	0.21318813160444836	0.9722055588882224	1.0	0.46190761847630474	0.2217156568686263	0.5712857428514297	1.0	0.8298340331933614	0.9904019196160768	1.0	1.0	not_FDR_supported	not_global_maxT_supported
1	all_cells_cell_balanced|daunorubicin	all_cells_cell_balanced	True	daunorubicin	Tier_C_program_overlap_dependent	41	7	0	early_program_suppression	0.06840917650330199	0.03881076210439478	0.024429285515707402	1.2115955818632593	0.11197760447910418	0.8882223555288942	0.22395520895820836	0.4199160167966407	0.3599280143971206	0.9722055588882224	1.0	0.5608878224355129	0.36647216011343187	0.7988402319536093	1.0	0.9648070385922816	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
