profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class	observed_direction	empirical_direction	evidence_level	generic_evidence_class	biological_interpretation	absolute_direction_supported	null_relative_only
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	injury_stress	-0.0541569915746008	-0.0517961327377706	0.0079521820214753	-0.2968818910903426	0.614877024595081	0.3853229354129174	0.7706458708258348	0.7094734899174011	1.0	1.0	0.8269774616505269	0.9733053389322136	0.841545976518982	1.0	0.9992001599680064	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported	negative	none	none	not_empirically_supported	not_empirically_supported	False	False
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	late_maturation_support	-0.0225466052630326	-0.050159894824028	0.0081372625196134	3.393437227131145	0.0003999200159968	0.9998000399920016	0.0007998400319936	0.005998800239952	0.002768677033824	0.9998000399920016	1.0	0.008998200359928	0.0035992801439712	0.0043991201759648	1.0	0.0095980803839232	0.0335932813437312	1.0	0.0613877224555089	positive_FDR_supported	positive_global_maxT_supported	negative	positive	global_maxT	above_null_but_observed_negative_global_maxT	relative_preservation_or_above_null_without_absolute_activation	False	True
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	late_minus_early	-0.02801562983796	-0.0777049884341657	0.011639555403898	4.269008297307016	0.0001999600079984	1.0	0.0003999200159968	0.002999400119976	0.001499700059988	1.0	1.0	0.005998800239952	0.0018943579705111	0.0003999200159968	1.0	0.0005998800239952	0.0013997200559888	1.0	0.0023995200959808	positive_FDR_supported	positive_global_maxT_supported	negative	positive	global_maxT	above_null_but_observed_negative_global_maxT	relative_preservation_or_above_null_without_absolute_activation	False	True
3	all_cells_cell_balanced|dosulepin	all_cells_cell_balanced	True	dosulepin	Tier_D_no_fixed_panel_mechanism	42	7	0	late_minus_injury	0.0316103863115682	0.0016362379086618	0.010949485792855	2.7374937024408514	0.001999600079984	0.9982003599280144	0.003999200159968	0.02999400119976	0.0105861180705035	0.9982003599280144	1.0	0.011997600479904	0.0128545719427543	0.0351929614077184	1.0	0.0885822835432913	0.2309538092381523	1.0	0.379124175164967	positive_FDR_supported	not_global_maxT_supported	positive	positive	FDR_only	absolute_positive_FDR_only_supported	late_program_exceeds_injury_FDR_only	True	False
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	developmental_shift	0.2051041485142639	0.2674118266642094	0.0131885716182084	-4.724368942571596	1.0	0.0001999600079984	0.0003999200159968	1.0	1.0	0.000999800039992	0.0025709143885508	0.0005998800239952	0.0018943579705111	1.0	0.0001999600079984	0.0001999600079984	1.0	0.0001999600079984	0.0005998800239952	negative_FDR_supported	negative_global_maxT_supported	positive	negative	global_maxT	below_null_but_observed_positive_global_maxT	relative_depletion_or_below_null_without_absolute_suppression	False	True
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	early_program_suppression	0.0300078851829036	-0.0090542591466261	0.023482781634315	1.663437702475964	0.0501899620075984	0.9500099980004	0.1003799240151969	0.3079384123175365	0.1806838632273545	0.9722055588882224	1.0	0.4619076184763047	0.1922168757737814	0.4933013397320536	1.0	0.75124975004999	0.9738052389522096	1.0	0.9976004799040192	not_FDR_supported	not_global_maxT_supported	positive	none	none	not_empirically_supported	not_empirically_supported	False	False
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	injury_stress	0.3638937741699524	0.2186304780498147	0.0297501671048394	4.882772443201086	0.0001999600079984	1.0	0.0003999200159968	0.000749850029994	0.001499700059988	1.0	1.0	0.0011997600479904	0.0018943579705111	0.0003999200159968	1.0	0.0003999200159968	0.0005998800239952	1.0	0.0005998800239952	positive_FDR_supported	positive_global_maxT_supported	positive	positive	global_maxT	absolute_positive_global_maxT_supported	injury_stress_activation_global_maxT	True	False
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	late_maturation_support	0.0412477442763654	0.0926607603816781	0.0248681649017625	-2.0674230007888004	0.977004599080184	0.0231953609278144	0.0463907218556288	0.9996000799840032	1.0	0.0869826034793041	0.1227989696178411	0.0869826034793041	0.1098727622896473	1.0	0.2401519696060788	0.4223155368926214	1.0	0.7734453109378124	0.9222155568886222	not_FDR_supported	not_global_maxT_supported	positive	none	none	not_empirically_supported	not_empirically_supported	False	False
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	late_minus_early	0.0112398590934617	0.1017150195492198	0.0362630562104391	-2.494967879450626	0.991001799640072	0.0091981603679264	0.0183963207358528	0.9978004399120176	1.0	0.0689862027594481	0.0551889622075584	0.0689862027594481	0.051739652069586	1.0	0.0871825634873025	0.1655668866226754	1.0	0.3923215356928614	0.5974805038992201	not_FDR_supported	not_global_maxT_supported	positive	none	none	not_empirically_supported	not_empirically_supported	False	False
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	late_minus_injury	-0.322646029893587	-0.1259697177703725	0.0382127581690956	-5.146875586758231	1.0	0.0001999600079984	0.0003999200159968	1.0	1.0	0.000999800039992	0.0025709143885508	0.001999600079984	0.0018943579705111	1.0	0.0001999600079984	0.0001999600079984	1.0	0.0001999600079984	0.0001999600079984	negative_FDR_supported	negative_global_maxT_supported	negative	negative	global_maxT	absolute_negative_global_maxT_supported	injury_exceeds_late_program_global_maxT	True	False
