virtual_perturbation_component	component_status	TF	testable	reason	OE_value	KO_OE_cosine	dominant_module	dominant_module_KO_shift	dominant_module_OE_shift	donors_opposite_KO_OE	donors_tested	real_KO_module_vector_norm	randomized_GRN_KO_module_vector_norm	real_exceeds_randomized_GRN	CellOracle_reciprocal_support	RFX_shared_nonindependent	condition	module	donor	mean_module_shift	cells	target_TF	control_TF	match_rank	target_mean_expression	control_mean_expression	target_detection_fraction	control_detection_fraction	status	significant_BH
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	BRC2330	0.0010574049303375	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	HDBR15777	-0.0005016728086026	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	HDBR15853	-0.000630992342486	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	XDD395	0.0007387008787931	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	XDD424	2.750054500948266e-05	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	axon_guidance_neurite_outgrowth	XDD431	-9.754865311759052e-05	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	BRC2256	0.001014322410908	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	BRC2329	-0.0158926662038157	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	BRC2330	-0.0209524466000689	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	HDBR15777	0.0030574409296334	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	HDBR15853	0.0037385788508198	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	XDD395	-0.0113543151369234	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	XDD424	-0.0038751743522794	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	axon_guidance_neurite_outgrowth	XDD431	-0.0023178967099206	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	BRC2256	0.0070189345408799	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	BRC2329	2.591493947275888e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	BRC2330	0.0001979931109182	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	HDBR15777	0.0084736877185596	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	HDBR15853	0.0082457488342293	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	XDD395	0.0003632648012987	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	XDD424	0.0012850998337781	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	axon_guidance_neurite_outgrowth	XDD431	0.004093982284757	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	BRC2256	-0.0070909705905107	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	BRC2329	5.578806833383002e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	BRC2330	0.0006259723898475	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	HDBR15777	-0.0081459037688442	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	HDBR15853	-0.0078247756583652	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	XDD395	8.089977841165898e-05	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	XDD424	-0.0010951841460074	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	neurogenesis_migration_layering	XDD431	-0.0039059020578464	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	BRC2256	0.0071890195313208	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	BRC2329	-0.0107599708244818	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	BRC2330	-0.0059467308788271	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	HDBR15777	0.0068480054962669	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	HDBR15853	0.0052777592081009	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	XDD395	0.006915873062457	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	XDD424	0.0150878748498062	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	neurogenesis_migration_layering	XDD431	0.0115697133238915	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	BRC2256	-0.0007766328456411	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	BRC2329	3.1610395364955466e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	BRC2330	0.0003748350878357	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	HDBR15777	-0.0006672563954912	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	HDBR15853	-0.0006426375080244	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	XDD395	0.0001080917701283	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	XDD424	-8.143567624437729e-05	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	neurogenesis_migration_layering	XDD431	-0.0002881599751193	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	BRC2256	-0.0362545872348455	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	BRC2329	-0.0001995945725416	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	BRC2330	-0.002170234978698	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	HDBR15777	-0.041948728123041	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	HDBR15853	-0.0365555186349442	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	XDD395	-0.0022658134296054	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	XDD424	-0.0066134955700207	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	oligodendrocyte_myelination	XDD431	-0.0205282797720019	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	BRC2256	0.0891168879935748	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	BRC2329	0.0569083269122017	600.0									
