module_id	gene_symbol	source_relative_path	source_SHA256	lock_revision	selection_basis
progenitor_radial_glia	HOPX	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	JAG1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	MKI67	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	MOXD1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	NES	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	NOTCH1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	NOTCH2	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	PAX6	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	PCNA	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	PROM1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	SOX1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	SOX2	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	SOX3	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	TOP2A	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
progenitor_radial_glia	VIM	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	BCL11B	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	BHLHE22	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	CUX1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	CUX2	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	DAB1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	DCLK1	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	DCX	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	ELAVL3	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
neurogenesis_migration_layering	ELAVL4	03_processed_data/transcriptomics/BrainSpan/DTHI_seed_modules/dthi_seed_gene_matching.tsv	8090fdea9df67a2626dc40c4ff6a9650d25fbdc1d2fa01d8accf84b4db125955	phase10A_R1	Pre-existing canonical Phase 1 DTHI seed-gene definition
